model_name,precision,recall,f1,sensitivity,false_positive_rate,artifact_size_bytes
logistic_regression,1.0,0.9519395462159281,0.9738054097535063,0.9519395462159281,0.0,943
random_forest,0.996078431372549,0.9939596974772854,0.9949741167010101,0.9939596974772854,0.004,181769
svm,0.9275972667689304,0.9729396477336175,0.9454101225376756,0.9729396477336175,0.10192307692307692,15908
